"ID","InstitutionID","datasetName","catalogNumber","occurrenceRemarks","recordNumber","recordedBy","sex","otherCatalogNumbers","associatedTaxa","eventID","eventDate","year","month","day","verbatimEventDate","habitat","fieldNumber","fieldNotes","country","stateProvince","county","municipality","locationID","locality","verbatimLocality","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","verbatimCoordinates","verbatimLatitude","verbatimLongitude","substrate","aocr:verbatimScientificName","aocr:verbatimInstitution","decimalLatitude","decimalLongitude","identificationID","identifiedBy","dateIdentified","identificationRemarks","identificationQualifier","taxonID","typeStatus","scientificName","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","basisOfRecord","occurrenceID"
1,,"Lichens of New York State","1075759",,"42164","Richard C. Harris",,,,ark:/21547/Fg2_0,"1998-04-19",,,,"19 April 1998","mixed hardwood-hemlock forest with granitic erratics.",,,"U.S.A.","NEW YORK","Rockland",,ark:/21547/Fh2_0,,"Harriman State Park, along Woodtown Road West near dam at S end of Lake Sebago along Seven Lakes Drive","ca. 240 m",,,"41°11'N, 74°08'W","41°11'N","74°08'W","on Trapelia placodioides Coppins & P. James",,"New York Botanical Garden",,,ark:/21547/Fj2_0,,,,,ark:/21547/Fi2_0,,"Polycoccum minutulum Kocourková & F. Berger",,,,,,,PreservedSpecimen,ark:/21547/Ff2_0
2,,"LICHENS OF OHIO, U.S.A.","1075760",,"52766","Richard C. Harris",,,,ark:/21547/Fg2_1,"2006-05-21",,,,"21 May 2006","sandstone boulders along stream and adjacent oak woods.",,,"U.S.A.","Ohio","Scioto",,ark:/21547/Fh2_1,,"Shawnee State Forest, along Pond Lick Run N of Forest Road 1, 0.35 mi SW of SR 125","ca. 190 m",,,"38°42'20""N 83°08'25""W","38°42'20""N","83°08'25'W","on Trapeliopsis placodioides Coppins & James","Polycoccum minutulum Kocourková & 'F. Berger","New York Botanical Garden",,,ark:/21547/Fj2_1,,,,,ark:/21547/Fi2_1,,"Polycoccum minutulum Kocourková & F. Berger",,,,,,,PreservedSpecimen,ark:/21547/Ff2_1
3,,"Lichens of New York","01075761",,"53566","Richard C. Harris",,,,ark:/21547/Fg2_2,"2007-05-18",,,,"18 May 2007","dolomite rock along lake shore and adjacent Thuja forest.",,,"U.S.A.","New York","Clinton","Peru",ark:/21547/Fh2_2,,"Town of Peru, Valcour Island in Lake Champlain, Bluff Point",,,,"44°37'27""N, 73°25'50""W","44°37'27""N","73°25'50""W","on indet. crust","Polycoccum opulentum (Th. Fr.) Arnold","New york Botanical Garden",,,ark:/21547/Fj2_2,,,,,ark:/21547/Fi2_2,,"Polycoccum opulentum (Th. Fr.) Arnold",,,,,,,PreservedSpecimen,ark:/21547/Ff2_2
4,,"Cryptogams of Canada","01075762",,"32368","William R. Buck",,,,ark:/21547/Fg2_3,"1997-08-08",,,,"8 August 1997","Abies balsamifera-Betula papyrifera forest over granite adjacent to waterfall.",,,"Canada","Quebec",,,ark:/21547/Fh2_3,,"Comte de Montmorency no. 1, Reserve Faunique des Laurentides, Foret Montmorency, Chute de la riviere Noire","730 m",,,"47°16'N, 71°10'W","47°16'N","71°10'W","parasite on Peltigera scabrosa","Polycoccum superficiale","New York Botanical Garden",,,ark:/21547/Fj2_3,,,,,ark:/21547/Fi2_3,,"Polycoccum superficiale",,,,,,,PreservedSpecimen,ark:/21547/Ff2_3
5,,"Lichens of Missouri","1075763",,"25487","R. C. Harris",,,,ark:/21547/Fg2_4,"1990-09-19",,,,"19 Sep 1990","on Acarospora fuscata (Nyl.) Arnold",,,"USA","MISSOURI","St. Francois",,ark:/21547/Fh2_4,,"Rhyolite glade just W of Knob Lick Fire Tower",,,,"Sec. 8, T34N, R6E.",,,,"Pyrenidium actinellum Nyl.","New york Botanical Garden",,,ark:/21547/Fj2_4,,,,,ark:/21547/Fi2_4,,"Pyrenidium actinellum Nyl.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_4
6,,"Lichens of Vermont","1075764",,"54358","Richard C. Harris",,,,ark:/21547/Fg2_5,"2008-05-16",,,,"16 May 2008","northern hardwoods and forested cold air, granitic talus slope",,,"U.S.A.","Vermont","Essex","Victory",ark:/21547/Fh2_5,,"Town of Victory, Victory State Forest, Umpire Mountain","550 m",,,"44°34'27""N, 71°50'57""W","44°34'27""N","71°50'57""W","on Phaeophyscia rubropulchra (Degel.) Essl.","Pyrenidium aggregatum K. Knudsen & Kocourk.","New York Botanical Garden",,,ark:/21547/Fj2_5,,,,,ark:/21547/Fi2_5,,"Pyrenidium aggregatum K. Knudsen & Kocourk.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_5
7,,"Lichens of Florida","01075765",,"412","Roland Thaxter",,,,ark:/21547/Fg2_6,"1898-02",,,,"Feb 1898.",,,,"USA","FLORIDA","Monroe",,ark:/21547/Fh2_6,,"Key West",,,,,,,,"Pyrenocollema atlanticum (Vainio) R. C. Harris","New York Botanical Garden",,,ark:/21547/Fj2_6,,,,,ark:/21547/Fi2_6,,"Pyrenocollema atlanticum (Vainio) R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_6
8,,,,,,"R.T. Wilce",,,,ark:/21547/Fg2_7,"1976-11-05",,,,"5 November 1976","shell of Balanus balanoides",,,,"Massachusetts",,,ark:/21547/Fh2_7,,"High littoral, White Horse Beach, between Manomet Pt. and Rocky Pt., Plymouth area",,,,,,,,,,,,ark:/21547/Fj2_6,"M.E.B.B.",,,,ark:/21547/Fi2_6,,"Arthopyrenia halodytes (Nyl.) Arnold",,,,,,,PreservedSpecimen,ark:/21547/Ff2_7
9,,,"01075767",,,"M. Sherwood & E. Kneiper",,,,ark:/21547/Fg2_8,"1979-07",,,,"July 1979",,,,,"Massachusetts",,,ark:/21547/Fh2_8,,"barnacles, Danes Beach, Beverly",,,,,,,,"Arthopyrenia litoralis (Leight.) Arn.","New york Botanical Garden",,,ark:/21547/Fj2_7,"M. Sherwood",,,,ark:/21547/Fi2_7,,"Arthopyrenia litoralis (Leight.) Arn.",,,,,,,PreservedSpecimen,ark:/21547/Ff2_8
10,,"Cryptogams of Canada","1075768",,"35573","William R. Buck",,,,ark:/21547/Fg2_9,"1999-05-06",,,,"6 May 1999","on snail shells in tidal pool",,,"Canada","New Brunswick","Saint John",,ark:/21547/Fh2_9,,"Saint John, Bay of Fundy, Digby Ferry Landing, ca. 45°15'N, 66°02'W; below high tide mark",,,,"45°15'N, 66°02'W","45°15'N","66°02'W",,"Pyrenocollema halodytes (Nyl.) R. C. Harris","NEW YORK BOTANICAL GARDEN","45.25","-66.033",ark:/21547/Fj2_8,,,,,ark:/21547/Fi2_8,,"Pyrenocollema halodytes (Nyl.) R. C. Harris",,,,,,,PreservedSpecimen,ark:/21547/Ff2_9
